14983	20161118
91277	20161118
21118	20170207
21970	20170207
55976	20170208
75154	20170208
57817	20170209
89757	20170213
93436	20170601
26403	20170601
22752	20170814
90979	20170814
59328	20170814
13856	20170816
12079	20170816
12490	20170816
22592	20170816
25320	20170816
20745	20180413
90751	20180601
84788	20180725
77659	20180725
77462	20180725
14182	20180725
49429	20180725
75905	20180725
77462	20180725
89394	20180725
91277	20180725
40539	20180725
55976	20180725
84788	20180725
12060	20190716
84788	20190807
78840	20200904
92775	20200904
